"Year" "Depth"
"1" 1976 6.2
"2" 1976 6.8
"3" 1976 7.1
"4" 1976 7.1
"5" 1976 7.4
"6" 1976 7.8
"7" 1976 7.9
"8" 1976 8
"9" 1976 8.2
"10" 1976 8.4
"11" 1976 8.4
"12" 1976 8.4
"13" 1976 8.5
"14" 1976 8.5
"15" 1976 8.5
"16" 1976 8.5
"17" 1976 8.6
"18" 1976 8.7
"19" 1976 8.7
"20" 1976 8.7
"21" 1976 8.9
"22" 1976 8.9
"23" 1976 8.9
"24" 1976 8.9
"25" 1976 8.9
"26" 1976 9
"27" 1976 9
"28" 1976 9
"29" 1976 9
"30" 1976 9
"31" 1976 9.1
"32" 1976 9.1
"33" 1976 9.1
"34" 1976 9.1
"35" 1976 9.1
"36" 1976 9.2
"37" 1976 9.3
"38" 1976 9.4
"39" 1976 9.4
"40" 1976 9.4
"41" 1976 9.5
"42" 1976 9.5
"43" 1976 9.6
"44" 1976 9.7
"45" 1976 9.7
"46" 1976 9.7
"47" 1976 9.7
"48" 1976 9.8
"49" 1976 9.8
"50" 1976 9.8
"51" 1976 9.8
"52" 1976 9.8
"53" 1976 9.9
"54" 1976 9.9
"55" 1976 9.9
"56" 1976 9.9
"57" 1976 9.9
"58" 1976 10
"59" 1976 10
"60" 1976 10
"61" 1976 10.1
"62" 1976 10.1
"63" 1976 10.1
"64" 1976 10.1
"65" 1976 10.1
"66" 1976 10.1
"67" 1976 10.2
"68" 1976 10.2
"69" 1976 10.3
"70" 1976 10.3
"71" 1976 10.3
"72" 1976 10.4
"73" 1976 10.4
"74" 1976 10.4
"75" 1976 10.4
"76" 1976 10.5
"77" 1976 10.5
"78" 1976 10.5
"79" 1976 10.5
"80" 1976 10.5
"81" 1976 10.6
"82" 1976 10.6
"83" 1976 10.6
"84" 1976 10.7
"85" 1976 10.8
"86" 1976 11
"87" 1976 11.4
"88" 1976 11.4
"89" 1976 11.7
"90" 1978 7.1
"91" 1978 7.9
"92" 1978 8
"93" 1978 8.4
"94" 1978 8.4
"95" 1978 8.7
"96" 1978 8.7
"97" 1978 8.8
"98" 1978 9
"99" 1978 9
"100" 1978 9.1
"101" 1978 9.1
"102" 1978 9.1
"103" 1978 9.2
"104" 1978 9.3
"105" 1978 9.3
"106" 1978 9.4
"107" 1978 9.4
"108" 1978 9.5
"109" 1978 9.6
"110" 1978 9.6
"111" 1978 9.6
"112" 1978 9.6
"113" 1978 9.6
"114" 1978 9.6
"115" 1978 9.7
"116" 1978 9.7
"117" 1978 9.7
"118" 1978 9.7
"119" 1978 9.8
"120" 1978 9.9
"121" 1978 9.9
"122" 1978 9.9
"123" 1978 9.9
"124" 1978 10
"125" 1978 10
"126" 1978 10
"127" 1978 10.2
"128" 1978 10.2
"129" 1978 10.2
"130" 1978 10.2
"131" 1978 10.2
"132" 1978 10.3
"133" 1978 10.3
"134" 1978 10.3
"135" 1978 10.3
"136" 1978 10.3
"137" 1978 10.3
"138" 1978 10.4
"139" 1978 10.4
"140" 1978 10.4
"141" 1978 10.4
"142" 1978 10.5
"143" 1978 10.5
"144" 1978 10.5
"145" 1978 10.5
"146" 1978 10.5
"147" 1978 10.5
"148" 1978 10.6
"149" 1978 10.6
"150" 1978 10.6
"151" 1978 10.6
"152" 1978 10.6
"153" 1978 10.7
"154" 1978 10.7
"155" 1978 10.7
"156" 1978 10.7
"157" 1978 10.7
"158" 1978 10.8
"159" 1978 10.9
"160" 1978 10.9
"161" 1978 10.9
"162" 1978 11
"163" 1978 11
"164" 1978 11
"165" 1978 11
"166" 1978 11.1
"167" 1978 11.1
"168" 1978 11.1
"169" 1978 11.1
"170" 1978 11.3
"171" 1978 11.4
"172" 1978 11.4
"173" 1978 11.4
"174" 1978 11.4
"175" 1978 11.5
"176" 1978 11.6
"177" 1978 11.6
"178" 1978 11.7
